"[p: 10, c: 0.55, m: 0.05]","[p: 40, c: 0.55, m: 0.05]","[p: 70, c: 0.55, m: 0.05]"
"[p: 10, c: 0.95, m: 0.12]","[p: 40, c: 0.95, m: 0.12]","[p: 70, c: 0.95, m: 0.12]"
0.5231316964285714,0.51453515625,0.5157408588435374
0.7361205357142857,0.8466564360119049,0.8725545280612244
0.7334836309523809,0.8433184523809526,0.8593216411564624
0.7367901785714286,0.8457669270833333,0.8658875425170068
0.7281540178571428,0.8482431175595238,0.8620903486394557
0.7521532738095238,0.8525035342261905,0.8734117772108844
0.7269330357142857,0.8395066964285712,0.8587396896258502
0.7519508928571428,0.8537501860119049,0.8577680697278909
0.7522038690476192,0.8525779389880954,0.8718693664965989
0.7087261904761905,0.8592723214285718,0.8710189200680268
0.7780133928571429,0.8428335193452382,0.8640153061224488
"[p: 10, c: 0.95, m: 0.2]","[p: 40, c: 0.95, m: 0.2]","[p: 70, c: 0.95, m: 0.2]"
0.5118683035714287,0.5162829241071429,0.5144211309523811
0.6933883928571427,0.7964183407738096,0.8290346513605442
0.7165327380952381,0.8111726190476191,0.8106035289115647
0.6764263392857142,0.8080223214285714,0.8219515306122448
0.6898511904761905,0.8161631324404761,0.8139664115646259
0.687029761904762,0.8054534970238094,0.815688456632653
0.7244069940476191,0.8085403645833333,0.8175943877551021
0.7084144345238094,0.8220548735119048,0.8378026147959184
0.6792998511904762,0.8058820684523811,0.8285507015306124
0.7103556547619047,0.8210613839285715,0.823828018707483
0.7490052083333334,0.8108694196428571,0.8131712372448978
